Name,Qty per unit,Pl. qty,Balance
Front body cover,1,5,2
Speaker with cable,1,5,4
Reset button with blue LED ring and cable,1,5,0
Capra Remote Control Unit incl. batteries a,1,5,2
Antenna WIFI - ANT-W63,2,10,5
Antenna LTE 4G - TG.42.0112,2,10,8
"RC Receiver cover, FrSky",1,5,0
Right Wheel harness,1,5,4
Left Wheel Harness,1,5,4
48V motor v1.0 ASM,2,10,1
SRB V1.0 ( Safety Relay Board ),1,5,2
USB-C Extention Fixture,1,5,2
Capra500 rear steer ASM,1,5,2
Indoor wheel with 30 deg drip lip for Capra500,4,20,5
Capra500 rear arm cover,1,5,1
Capra500 motor cable fixture,2,10,6
Capra500 front steer ASM,1,5,2
Capra500 L sidearm ASM,1,5,0
Capra500 R sidearm ASM,1,5,0
Capra500 rear arm ASM,1,5,1
Steer motor w. ASB ASM,1,5,4
Capra500 front arm ASM,1,5,1
Internal charger unit plate 48V,1,5,3
Pulley HTD 5M 25t,1,5,3
Capra500 OCB ASM,1,5,3
Connector mount R/R,1,5,3
Capra500 body ASM,1,5,2
Internal charger unit cover L 106mm,1,5,21
"Interface plate, Gigabit, 8 pin ASM",1,5,2
48V battery rail ASM,2,10,2
